15	10	E	-7498978.913817789	200
emissionprobs	4	8	H3k79me2	0	0.9416006362272391
emissionprobs	4	8	H3k79me2	1	0.058399363772760844
emissionprobs	4	9	H3k9ac	0	0.8637765991586438
emissionprobs	4	9	H3k9ac	1	0.13622340084135626
emissionprobs	5	0	H2afz	0	0.9631795720419344
emissionprobs	5	0	H2afz	1	0.03682042795806565
emissionprobs	5	1	H3k04me1	0	0.6052287402057914
emissionprobs	5	1	H3k04me1	1	0.3947712597942086
emissionprobs	5	2	H3k09me3	0	0.9955264587121415
emissionprobs	5	2	H3k09me3	1	0.0044735412878585705
emissionprobs	5	3	H3k27ac	0	0.9796674943170829
emissionprobs	5	3	H3k27ac	1	0.020332505682917012
emissionprobs	5	4	H3k27me3	0	0.9974840508297279
emissionprobs	5	4	H3k27me3	1	0.002515949170272085
emissionprobs	5	5	H3k36me3	0	0.9942538595965037
emissionprobs	5	5	H3k36me3	1	0.005746140403496302
emissionprobs	5	6	H3k4me2	0	0.9758567338681741
emissionprobs	5	6	H3k4me2	1	0.024143266131825925
emissionprobs	5	7	H3k4me3	0	0.9978749308530658
emissionprobs	5	7	H3k4me3	1	0.002125069146934218
emissionprobs	5	8	H3k79me2	0	0.9787044449144571
emissionprobs	5	8	H3k79me2	1	0.0212955550855429
emissionprobs	5	9	H3k9ac	0	0.9798103102104728
emissionprobs	5	9	H3k9ac	1	0.020189689789527242
emissionprobs	6	0	H2afz	0	0.7492485559345082
emissionprobs	6	0	H2afz	1	0.2507514440654918
emissionprobs	6	1	H3k04me1	0	0.5292054211381904
emissionprobs	6	1	H3k04me1	1	0.4707945788618096
emissionprobs	6	2	H3k09me3	0	0.9912548547760556
emissionprobs	6	2	H3k09me3	1	0.008745145223944411
emissionprobs	6	3	H3k27ac	0	0.9770506251876034
emissionprobs	6	3	H3k27ac	1	0.0229493748123965
emissionprobs	6	4	H3k27me3	0	0.9693057095676791
emissionprobs	6	4	H3k27me3	1	0.030694290432320852
emissionprobs	6	5	H3k36me3	0	0.998624905435783
emissionprobs	6	5	H3k36me3	1	0.0013750945642169706
emissionprobs	6	6	H3k4me2	0	0.36918950737805706
emissionprobs	6	6	H3k4me2	1	0.6308104926219429
emissionprobs	6	7	H3k4me3	0	0.9177993067629849
emissionprobs	6	7	H3k4me3	1	0.08220069323701511
emissionprobs	6	8	H3k79me2	0	0.9769595414752696
emissionprobs	6	8	H3k79me2	1	0.023040458524730283
emissionprobs	6	9	H3k9ac	0	0.9555491967584507
emissionprobs	6	9	H3k9ac	1	0.044450803241549215
emissionprobs	7	0	H2afz	0	0.35639321451841965
emissionprobs	7	0	H2afz	1	0.6436067854815805
emissionprobs	7	1	H3k04me1	0	0.4787737728258361
emissionprobs	7	1	H3k04me1	1	0.521226227174164
emissionprobs	7	2	H3k09me3	0	0.9588415436578231
emissionprobs	7	2	H3k09me3	1	0.04115845634217694
emissionprobs	7	3	H3k27ac	0	0.7704442776283376
emissionprobs	7	3	H3k27ac	1	0.22955572237166244
emissionprobs	7	4	H3k27me3	0	0.9343037657979063
emissionprobs	7	4	H3k27me3	1	0.06569623420209372
emissionprobs	7	5	H3k36me3	0	0.9767397445093371
emissionprobs	7	5	H3k36me3	1	0.02326025549066289
emissionprobs	7	6	H3k4me2	0	0.022885508632226017
